lexicalEntry,canonicalForm,saldEntry,saldText,spanText,nifSpan,syntheticEntry,syntheticText,lexicalSense,definition
http://llod.jerteh.rs/alo/alolex#entry_10989,slepac,http://llod.jerteh.rs/alo/sald#entry_1217865784761966593,"@USER Namazan pacov mamu mu jbm, al dzaba mu kad je izvaljen.. slepac.",slepac,"http://llod.jerteh.rs/alo/sald/nif#span_1217865784761966593_GroupAnnotators_5_char=66,72",http://llod.jerteh.rs/alo/synthetic#entry_102,"Ovaj @USER je slepac, promasio je penal u 90 min, koji debil!",http://llod.jerteh.rs/alo/alolex#sense_10989_1,"koji prokocka svaku šansu, najčešće i upropasti idealnu situaciju: podvrsta: dupeglavac
osoba bez dostojanstva ili novca
siromah"
http://llod.jerteh.rs/alo/alolex#entry_10989,slepac,http://llod.jerteh.rs/alo/sald#entry_1217865784761966593,"@USER Namazan pacov mamu mu jbm, al dzaba mu kad je izvaljen.. slepac.",slepac,"http://llod.jerteh.rs/alo/sald/nif#span_1217865784761966593_SingleAnnotator_4_char=66,72",http://llod.jerteh.rs/alo/synthetic#entry_102,"Ovaj @USER je slepac, promasio je penal u 90 min, koji debil!",http://llod.jerteh.rs/alo/alolex#sense_10989_1,"koji prokocka svaku šansu, najčešće i upropasti idealnu situaciju: podvrsta: dupeglavac
osoba bez dostojanstva ili novca
siromah"
http://llod.jerteh.rs/alo/alolex#entry_10989,slepac,http://llod.jerteh.rs/alo/sald#entry_1281668792980996098,"@USER Срђан Ного је будала и слепац, исте тв агентуре су их сатанизовали док су били неподобни другој Србији, сад Нога будалу возају као корисног идиота, будала остаје будала.",slepac,"http://llod.jerteh.rs/alo/sald/nif#span_1281668792980996098_GroupAnnotators_2_char=29,35",http://llod.jerteh.rs/alo/synthetic#entry_102,"Ovaj @USER je slepac, promasio je penal u 90 min, koji debil!",http://llod.jerteh.rs/alo/alolex#sense_10989_1,"koji prokocka svaku šansu, najčešće i upropasti idealnu situaciju: podvrsta: dupeglavac
osoba bez dostojanstva ili novca
siromah"
http://llod.jerteh.rs/alo/alolex#entry_10989,slepac,http://llod.jerteh.rs/alo/sald#entry_1281668792980996098,"@USER Срђан Ного је будала и слепац, исте тв агентуре су их сатанизовали док су били неподобни другој Србији, сад Нога будалу возају као корисног идиота, будала остаје будала.",slepac,"http://llod.jerteh.rs/alo/sald/nif#span_1281668792980996098_SingleAnnotator_2_char=29,35",http://llod.jerteh.rs/alo/synthetic#entry_102,"Ovaj @USER je slepac, promasio je penal u 90 min, koji debil!",http://llod.jerteh.rs/alo/alolex#sense_10989_1,"koji prokocka svaku šansu, najčešće i upropasti idealnu situaciju: podvrsta: dupeglavac
osoba bez dostojanstva ili novca
siromah"
http://llod.jerteh.rs/alo/alolex#entry_10367,kurčina,http://llod.jerteh.rs/alo/sald#entry_1333799515288059915,"Ok, ukucao kodove sa preko 10 zatvarača i kurčina. Koka kola propo..",kurčina,"http://llod.jerteh.rs/alo/sald/nif#span_1333799515288059915_GroupAnnotators_1_char=43,50",http://llod.jerteh.rs/alo/synthetic#entry_106,"Ovaj @USER pise samo gluposti, koja kurčina od coveka! 😡",http://llod.jerteh.rs/alo/alolex#sense_10367_1,veliki penis
http://llod.jerteh.rs/alo/alolex#entry_10367,kurčina,http://llod.jerteh.rs/alo/sald#entry_1333799515288059915,"Ok, ukucao kodove sa preko 10 zatvarača i kurčina. Koka kola propo..",kurčina,"http://llod.jerteh.rs/alo/sald/nif#span_1333799515288059915_SingleAnnotator_1_char=43,50",http://llod.jerteh.rs/alo/synthetic#entry_106,"Ovaj @USER pise samo gluposti, koja kurčina od coveka! 😡",http://llod.jerteh.rs/alo/alolex#sense_10367_1,veliki penis
http://llod.jerteh.rs/alo/alolex#entry_5320,sahranjivati,,,,,http://llod.jerteh.rs/alo/synthetic#entry_107,"E, @USER, bolje pazi šta pričaš, inače ću te ja lično sahranjivati! 😡",http://llod.jerteh.rs/alo/alolex#sense_5320_1,sahraniti
http://llod.jerteh.rs/alo/alolex#entry_1111,navući,http://llod.jerteh.rs/alo/sald#entry_1236933858999914498,"@USER Neron Vesic se navukao pa svako jutro gostuje na Pinku. Hoce covek da ga ljudi vole, a ne moze da mu udje u glavu da je to nemoguce. Vesica niko ne moze da voli, cak ga ni baka njegova nije volela.",navukao,"http://llod.jerteh.rs/alo/sald/nif#span_1236933858999914498_GroupAnnotators_1_char=21,28",http://llod.jerteh.rs/alo/synthetic#entry_108,"@USER Ćuti bre, seljačino! Navući ću te na onu tvoju raspalu ladu, majmune jedan! 😠",http://llod.jerteh.rs/alo/alolex#sense_1111_1,jebati
http://llod.jerteh.rs/alo/alolex#entry_10167,jebati,http://llod.jerteh.rs/alo/sald#entry_1045039274331172866,"@USER Tom liku ako je veći utisak šta je riba gledala nego seks s njom, moram da mu prenesem jednu užasnu istinu, matori ti loše jebeš i imaš užasan seks.",jebeš,"http://llod.jerteh.rs/alo/sald/nif#span_1045039274331172866_GroupAnnotators_1_char=131,136",http://llod.jerteh.rs/alo/synthetic#entry_109,"E, @USER, pa ti si stvarno glup! Treba te jebati i tebe i tu tvoju ideju! 😠",http://llod.jerteh.rs/alo/alolex#sense_10167_1,"o muškarcu, imati snošaj || uništiti"
http://llod.jerteh.rs/alo/alolex#entry_10167,jebati,http://llod.jerteh.rs/alo/sald#entry_1059098397066584065,"@USER @USER @USER Gistro oće da jebe na Ikei, a ne ide da duže sklapaš krevet nego da jebeš na njemu. Ne ide brt.",jebe,"http://llod.jerteh.rs/alo/sald/nif#span_1059098397066584065_GroupAnnotators_1_char=32,36",http://llod.jerteh.rs/alo/synthetic#entry_109,"E, @USER, pa ti si stvarno glup! Treba te jebati i tebe i tu tvoju ideju! 😠",http://llod.jerteh.rs/alo/alolex#sense_10167_1,"o muškarcu, imati snošaj || uništiti"
