lexicalEntry,canonicalForm,lexicalSense,definition,originalExample,originalExampleText,syntheticExample,syntheticExampleText
http://llod.jerteh.rs/alo/alolex#entry_10167,jebati,http://llod.jerteh.rs/alo/alolex#sense_10167_1,"o muškarcu, imati snošaj || uništiti",http://llod.jerteh.rs/alo/alolex#example_10167_1_1,"Jebat ćemo vam svima milu majku.; Jebacu ti decu, znas li kujo sina i cerku cu ti jebati.",http://llod.jerteh.rs/alo/synthetic#entry_109,"E, @USER, pa ti si stvarno glup! Treba te jebati i tebe i tu tvoju ideju! 😠"
http://llod.jerteh.rs/alo/alolex#entry_10167,jebati,http://llod.jerteh.rs/alo/alolex#sense_10167_1,"o muškarcu, imati snošaj || uništiti",http://llod.jerteh.rs/alo/alolex#example_10167_1_1,"Jebat ćemo vam svima milu majku.; Jebacu ti decu, znas li kujo sina i cerku cu ti jebati.",http://llod.jerteh.rs/alo/synthetic#entry_238,"Ma, jebati te, šta se praviš pametan!"
http://llod.jerteh.rs/alo/alolex#entry_10263,kolac,http://llod.jerteh.rs/alo/alolex#sense_10263_1,"drven tip (naročito nepoželjan u kafani, na žurkama… Preporučljiva pratnja za sahrane ili posetu bolnici)
kurac
ukočen tip, jako malo se kreće, nepoželjan u kafani i na žurkama; preporučljiva pratnja za sahrane i posete bolnici
zašiljen, drveni ili gvozdeni predmet kao oruđe za mučenje ili izvršenje smrtne kazne (u nekadašnjoj Turskoj); uništenju nekoga, nečega",http://llod.jerteh.rs/alo/alolex#example_10263_1_1,nabiti na kolac; nataći na kolac,http://llod.jerteh.rs/alo/synthetic#entry_433,Taj nesposobni kolac ne može ništa da uradi kako treba.
http://llod.jerteh.rs/alo/alolex#entry_10269,komunjara,http://llod.jerteh.rs/alo/alolex#sense_10269_1,"politička pristalica komunizma, komunista
pristalica komunizma",http://llod.jerteh.rs/alo/alolex#example_10269_1_1,"”Gde ste sada, komunjare"", likovale su pijane Delije...",http://llod.jerteh.rs/alo/synthetic#entry_323,"@USER Ti si jedna matora #komunjara! Mrš u mišju rupu, bagro crvena!"
http://llod.jerteh.rs/alo/alolex#entry_10269,komunjara,http://llod.jerteh.rs/alo/alolex#sense_10269_1,"politička pristalica komunizma, komunista
pristalica komunizma",http://llod.jerteh.rs/alo/alolex#example_10269_1_1,"”Gde ste sada, komunjare"", likovale su pijane Delije...",http://llod.jerteh.rs/alo/synthetic#entry_442,"On je stara komunjara, ceo život je proveo na državnim jaslama."
http://llod.jerteh.rs/alo/alolex#entry_10495,metak,http://llod.jerteh.rs/alo/alolex#sense_10495_1,"kurac
ubojno sredstvo za punjenje vatrenog oružja koje se sastoji od zrna, čahure s (barutnim) punjenjem i kapisle; deo toga ubojnog sredstva koje izleće iz cevi vatrenog oružja, zrno, kuršum, tane; puščani metak čija se košuljica zrna rasprskava pri udaru",http://llod.jerteh.rs/alo/alolex#example_10495_1_1,metak u čelo; To neće sa vlasti bez metka.,http://llod.jerteh.rs/alo/synthetic#entry_235,"Treba te poslati tamo pa da vidiš šta je metak, pičko jedna!"
http://llod.jerteh.rs/alo/alolex#entry_10495,metak,http://llod.jerteh.rs/alo/alolex#sense_10495_1,"kurac
ubojno sredstvo za punjenje vatrenog oružja koje se sastoji od zrna, čahure s (barutnim) punjenjem i kapisle; deo toga ubojnog sredstva koje izleće iz cevi vatrenog oružja, zrno, kuršum, tane; puščani metak čija se košuljica zrna rasprskava pri udaru",http://llod.jerteh.rs/alo/alolex#example_10495_1_2,Možda je politički korektnije da mu saspemo pet metaka u leđa i da se napijemo posle atentata.,http://llod.jerteh.rs/alo/synthetic#entry_235,"Treba te poslati tamo pa da vidiš šta je metak, pičko jedna!"
http://llod.jerteh.rs/alo/alolex#entry_10495,metak,http://llod.jerteh.rs/alo/alolex#sense_10495_1,"kurac
ubojno sredstvo za punjenje vatrenog oružja koje se sastoji od zrna, čahure s (barutnim) punjenjem i kapisle; deo toga ubojnog sredstva koje izleće iz cevi vatrenog oružja, zrno, kuršum, tane; puščani metak čija se košuljica zrna rasprskava pri udaru",http://llod.jerteh.rs/alo/alolex#example_10495_1_3,Šta mu fali?,http://llod.jerteh.rs/alo/synthetic#entry_235,"Treba te poslati tamo pa da vidiš šta je metak, pičko jedna!"
http://llod.jerteh.rs/alo/alolex#entry_10495,metak,http://llod.jerteh.rs/alo/alolex#sense_10495_1,"kurac
ubojno sredstvo za punjenje vatrenog oružja koje se sastoji od zrna, čahure s (barutnim) punjenjem i kapisle; deo toga ubojnog sredstva koje izleće iz cevi vatrenog oružja, zrno, kuršum, tane; puščani metak čija se košuljica zrna rasprskava pri udaru",http://llod.jerteh.rs/alo/alolex#example_10495_1_4,Metak u čelo.,http://llod.jerteh.rs/alo/synthetic#entry_235,"Treba te poslati tamo pa da vidiš šta je metak, pičko jedna!"
http://llod.jerteh.rs/alo/alolex#entry_10532,mrtav,http://llod.jerteh.rs/alo/alolex#sense_10532_1,"nevažan, beznačajan",http://llod.jerteh.rs/alo/alolex#example_10532_1_1,Ti si mrtav čovek.,http://llod.jerteh.rs/alo/synthetic#entry_372,"Tvoje mišljenje je mrtvo slovo na papiru, nikoga ne zanima."
http://llod.jerteh.rs/alo/alolex#entry_10532,mrtav,http://llod.jerteh.rs/alo/alolex#sense_10532_1,"nevažan, beznačajan",http://llod.jerteh.rs/alo/alolex#example_10532_1_2,Sami mrtvi vučići su dobri vučići.,http://llod.jerteh.rs/alo/synthetic#entry_372,"Tvoje mišljenje je mrtvo slovo na papiru, nikoga ne zanima."
http://llod.jerteh.rs/alo/alolex#entry_10579,nabiti,http://llod.jerteh.rs/alo/alolex#sense_10579_1,"jebati
nabosti, nataći (na koplje, na ražanj, na kolac i sl.)",http://llod.jerteh.rs/alo/alolex#example_10579_1_1,"Jebem ti Danila mrtvog i nabijem ti na kurac kljakavu Milicu, šmokljo",http://llod.jerteh.rs/alo/synthetic#entry_505,Trebalo je sve te izdajnike nabiti na kolac!
http://llod.jerteh.rs/alo/alolex#entry_10579,nabiti,http://llod.jerteh.rs/alo/alolex#sense_10579_1,"jebati
nabosti, nataći (na koplje, na ražanj, na kolac i sl.)",http://llod.jerteh.rs/alo/alolex#example_10579_1_1,"Jebem ti Danila mrtvog i nabijem ti na kurac kljakavu Milicu, šmokljo",http://llod.jerteh.rs/alo/synthetic#entry_78,"E, @USER nabicu te na k***c, majmune jedan! 😠"
http://llod.jerteh.rs/alo/alolex#entry_10599,nataći,http://llod.jerteh.rs/alo/alolex#sense_10599_1,"jebati
nabosti, nabiti na nešto oštro:",http://llod.jerteh.rs/alo/alolex#example_10599_1_1,nataći na kolac,http://llod.jerteh.rs/alo/synthetic#entry_196,"Nataći ću te na kurac, pičko jedna!"
http://llod.jerteh.rs/alo/alolex#entry_10809,polomiti,http://llod.jerteh.rs/alo/alolex#sense_10809_1,"jebati
razbiti u komade; razlomiti na više mesta; skrhati sve redom, jedno za drugim; ) jako istući, pretući nekoga; pobiti, uništiti u borbi",http://llod.jerteh.rs/alo/alolex#example_10809_1_1,kosti ću ti polomiti,http://llod.jerteh.rs/alo/synthetic#entry_335,"Ako još jednom progovoriš, polomiću te kao pičku!"
http://llod.jerteh.rs/alo/alolex#entry_10978,skinuti,http://llod.jerteh.rs/alo/alolex#sense_10978_1,paučinu deflorisati,http://llod.jerteh.rs/alo/alolex#example_10978_1_1,Iz šume stižem pičko da te skinem.,http://llod.jerteh.rs/alo/synthetic#entry_134,"E moj @USER, ti ces nekom nesto da pricas? Prvo skini paucinu pa se javi, pičko!"
http://llod.jerteh.rs/alo/alolex#entry_11015,spaliti,http://llod.jerteh.rs/alo/alolex#sense_11015_1,"jebati
uništiti vatrom, sagoreti",http://llod.jerteh.rs/alo/alolex#example_11015_1_1,On je jednja gnjida koju treba spaliti strujom,http://llod.jerteh.rs/alo/synthetic#entry_360,"E, @USER, spaliti te treba, đubre jedno! 🔥🤬"
http://llod.jerteh.rs/alo/alolex#entry_11015,spaliti,http://llod.jerteh.rs/alo/alolex#sense_11015_1,"jebati
uništiti vatrom, sagoreti",http://llod.jerteh.rs/alo/alolex#example_11015_1_1,On je jednja gnjida koju treba spaliti strujom,http://llod.jerteh.rs/alo/synthetic#entry_502,Trebalo je tu gamad spaliti dok su još bili mali.
http://llod.jerteh.rs/alo/alolex#entry_11076,tele,http://llod.jerteh.rs/alo/alolex#sense_11076_1,"glup
osoba koja ništa ne shvata (“blene ko tele u šarena vrata”)",http://llod.jerteh.rs/alo/alolex#example_11076_1_1,Blene ko tele u šarena vrata,http://llod.jerteh.rs/alo/synthetic#entry_75,"Nemoj da budeš tele, valjda razumeš šta ti govorim!"
