datasetEntry,sourceText,spanText,lexicalEntry,canonicalForm
http://llod.jerteh.rs/alo/sald#entry_1006279729123659776,"@USER Болесник. Имам и ја такве паћенике али док год прети и псује, знај да нема муда за било шта.",muda,http://llod.jerteh.rs/alo/alolex#entry_10538,mudo
http://llod.jerteh.rs/alo/sald#entry_1009778553691557888,"""Kija Kockar poručila fanovima"", jebote ima fanove, sad će da napuni tri Sava Centra da dodju fanovi da gledaju kako se svađa sa mužem.",jebote,http://llod.jerteh.rs/alo/alolex#entry_10186,jebote
http://llod.jerteh.rs/alo/sald#entry_1009862161693335553,"Da sam Mesijev saigrač za svaku jaču loptu bih mu vikao ""E jebiga, Ronaldo bi stigao.""",jebiga,http://llod.jerteh.rs/alo/alolex#entry_10179,jebiga
http://llod.jerteh.rs/alo/sald#entry_1010493257925701632,@USER E ti si glup za medalju jbt!!! Sledece je da se nosis tamo odae si izmileo i svakako sa moje lajne!!!,jbt,http://llod.jerteh.rs/alo/alolex#entry_10186,jebote
http://llod.jerteh.rs/alo/sald#entry_1012055449175240704,Koja bulja od ekipe ovaj Brazil napunice ih prva ekipa koja ume da šutne loptu u gol,bulja,http://llod.jerteh.rs/alo/alolex#entry_9795,bulja
http://llod.jerteh.rs/alo/sald#entry_1012326491487694848,@USER @USER @USER @USER @USER Koliko je Zijah Sokolović popizdeo...,popizdeo,http://llod.jerteh.rs/alo/alolex#entry_1528,popizdeti
http://llod.jerteh.rs/alo/sald#entry_1018632039782903814,"Sto pretnji smrću, silovanjem i batinama, jer vas pozivam na ljubav i poštovanje, a ne na mržnju. I opet, verujem da ovaj svet može biti bolji. 
Ali ne sa ovim establišmentom. 
Za život i radost,
iz Moskve
Ivan Ivanović😉",silovanjem,http://llod.jerteh.rs/alo/alolex#entry_7191,silovanje
http://llod.jerteh.rs/alo/sald#entry_1018632039782903814,"Sto pretnji smrću, silovanjem i batinama, jer vas pozivam na ljubav i poštovanje, a ne na mržnju. I opet, verujem da ovaj svet može biti bolji. 
Ali ne sa ovim establišmentom. 
Za život i radost,
iz Moskve
Ivan Ivanović😉",batinama,http://llod.jerteh.rs/alo/alolex#entry_9721,batina
http://llod.jerteh.rs/alo/sald#entry_1026067751029403649,zadržao sam se na reklami za šolju koja sama meša kafu sekund predugo i sad instagram algoritam ima negde zabeleženo o meni da sam debil,debil,http://llod.jerteh.rs/alo/alolex#entry_9852,debil
http://llod.jerteh.rs/alo/sald#entry_1030163245733163008,"@USER @USER @USER Јбг, извини.",Jbg,http://llod.jerteh.rs/alo/alolex#entry_10179,jebiga
http://llod.jerteh.rs/alo/sald#entry_1040296516785717255,""" Izato prihvatam na sebe sve, svi ti patološki slučajevi i bolesnici neka se iživljavaju na meni svakoga dana i oni i njihovi mediji i svi drugi, i Srbija mora da pobedi takve i mora da bude normalna zemlja"", kazao je Vučić.

Jel ovo o svojima priča ili o opoziciji?",bolesnici,http://llod.jerteh.rs/alo/alolex#entry_9769,bolesnik
http://llod.jerteh.rs/alo/sald#entry_1042824875486978048,O miševima i mudima.,mudima,http://llod.jerteh.rs/alo/alolex#entry_10538,mudo
http://llod.jerteh.rs/alo/sald#entry_1045039274331172866,"@USER Tom liku ako je veći utisak šta je riba gledala nego seks s njom, moram da mu prenesem jednu užasnu istinu, matori ti loše jebeš i imaš užasan seks.",jebeš,http://llod.jerteh.rs/alo/alolex#entry_10167,jebati
