span,text,lexicalEntry
"http://llod.jerteh.rs/alo/sald/nif#span_1006279729123659776_GroupAnnotators_4_char=83,87",muda,http://llod.jerteh.rs/alo/alolex#entry_10538
"http://llod.jerteh.rs/alo/sald/nif#span_1009778553691557888_GroupAnnotators_1_char=36,42",jebote,http://llod.jerteh.rs/alo/alolex#entry_10186
"http://llod.jerteh.rs/alo/sald/nif#span_1009778553691557888_SingleAnnotator_1_char=36,42",jebote,http://llod.jerteh.rs/alo/alolex#entry_10186
"http://llod.jerteh.rs/alo/sald/nif#span_1009862161693335553_GroupAnnotators_1_char=60,66",jebiga,http://llod.jerteh.rs/alo/alolex#entry_10179
"http://llod.jerteh.rs/alo/sald/nif#span_1009862161693335553_SingleAnnotator_1_char=60,66",jebiga,http://llod.jerteh.rs/alo/alolex#entry_10179
"http://llod.jerteh.rs/alo/sald/nif#span_1010493257925701632_SingleAnnotator_2_char=30,33",jbt,http://llod.jerteh.rs/alo/alolex#entry_10186
"http://llod.jerteh.rs/alo/sald/nif#span_1012055449175240704_SingleAnnotator_1_char=5,10",bulja,http://llod.jerteh.rs/alo/alolex#entry_9795
"http://llod.jerteh.rs/alo/sald/nif#span_1012326491487694848_GroupAnnotators_1_char=56,64",popizdeo,http://llod.jerteh.rs/alo/alolex#entry_1528
"http://llod.jerteh.rs/alo/sald/nif#span_1012326491487694848_SingleAnnotator_1_char=56,64",popizdeo,http://llod.jerteh.rs/alo/alolex#entry_1528
"http://llod.jerteh.rs/alo/sald/nif#span_1018632039782903814_GroupAnnotators_2_char=20,30",silovanjem,http://llod.jerteh.rs/alo/alolex#entry_7191
"http://llod.jerteh.rs/alo/sald/nif#span_1018632039782903814_GroupAnnotators_3_char=33,41",batinama,http://llod.jerteh.rs/alo/alolex#entry_9721
"http://llod.jerteh.rs/alo/sald/nif#span_1026067751029403649_GroupAnnotators_1_char=131,136",debil,http://llod.jerteh.rs/alo/alolex#entry_9852
"http://llod.jerteh.rs/alo/sald/nif#span_1030163245733163008_GroupAnnotators_1_char=18,21",Jbg,http://llod.jerteh.rs/alo/alolex#entry_10179
"http://llod.jerteh.rs/alo/sald/nif#span_1030163245733163008_SingleAnnotator_1_char=18,21",Jbg,http://llod.jerteh.rs/alo/alolex#entry_10179
"http://llod.jerteh.rs/alo/sald/nif#span_1040296516785717255_SingleAnnotator_2_char=61,70",bolesnici,http://llod.jerteh.rs/alo/alolex#entry_9769
"http://llod.jerteh.rs/alo/sald/nif#span_1042824875486978048_GroupAnnotators_1_char=13,19",mudima,http://llod.jerteh.rs/alo/alolex#entry_10538
"http://llod.jerteh.rs/alo/sald/nif#span_1042824875486978048_SingleAnnotator_1_char=13,19",mudima,http://llod.jerteh.rs/alo/alolex#entry_10538
"http://llod.jerteh.rs/alo/sald/nif#span_1045039274331172866_GroupAnnotators_1_char=131,136",jebeš,http://llod.jerteh.rs/alo/alolex#entry_10167
"http://llod.jerteh.rs/alo/sald/nif#span_1045039274331172866_SingleAnnotator_1_char=41,45",riba,http://llod.jerteh.rs/alo/alolex#entry_10923
"http://llod.jerteh.rs/alo/sald/nif#span_1045636921165320192_GroupAnnotators_1_char=42,48",sjebem,http://llod.jerteh.rs/alo/alolex#entry_1895
