datasetEntry,sourceText,lexicalEntry,canonicalForm,lexicalSense,definition
http://llod.jerteh.rs/alo/synthetic#entry_102,"Ovaj @USER je slepac, promasio je penal u 90 min, koji debil!",http://llod.jerteh.rs/alo/alolex#entry_10989,slepac,http://llod.jerteh.rs/alo/alolex#sense_10989_1,"koji prokocka svaku šansu, najčešće i upropasti idealnu situaciju: podvrsta: dupeglavac
osoba bez dostojanstva ili novca
siromah"
http://llod.jerteh.rs/alo/synthetic#entry_106,"Ovaj @USER pise samo gluposti, koja kurčina od coveka! 😡",http://llod.jerteh.rs/alo/alolex#entry_10367,kurčina,http://llod.jerteh.rs/alo/alolex#sense_10367_1,veliki penis
http://llod.jerteh.rs/alo/synthetic#entry_107,"E, @USER, bolje pazi šta pričaš, inače ću te ja lično sahranjivati! 😡",http://llod.jerteh.rs/alo/alolex#entry_5320,sahranjivati,http://llod.jerteh.rs/alo/alolex#sense_5320_1,sahraniti
http://llod.jerteh.rs/alo/synthetic#entry_108,"@USER Ćuti bre, seljačino! Navući ću te na onu tvoju raspalu ladu, majmune jedan! 😠",http://llod.jerteh.rs/alo/alolex#entry_1111,navući,http://llod.jerteh.rs/alo/alolex#sense_1111_1,jebati
http://llod.jerteh.rs/alo/synthetic#entry_109,"E, @USER, pa ti si stvarno glup! Treba te jebati i tebe i tu tvoju ideju! 😠",http://llod.jerteh.rs/alo/alolex#entry_10167,jebati,http://llod.jerteh.rs/alo/alolex#sense_10167_1,"o muškarcu, imati snošaj || uništiti"
http://llod.jerteh.rs/alo/synthetic#entry_11,"E moj @USER, bolje ti je da se pokriješ ušima, nego da zviždaš po internetu! 😡",http://llod.jerteh.rs/alo/alolex#entry_527,zviždati,http://llod.jerteh.rs/alo/alolex#sense_527_1,pišati
http://llod.jerteh.rs/alo/synthetic#entry_110,"E, @USER, samo se ti kurči, staviću te ja na crnu listu, pa ćeš da vidiš!",http://llod.jerteh.rs/alo/alolex#entry_1968,staviti,http://llod.jerteh.rs/alo/alolex#sense_1968_1,jebati
http://llod.jerteh.rs/alo/synthetic#entry_111,"Ova @USER misli da je pametna, a pojma nema! 😂 #glupaco #seljanka",http://llod.jerteh.rs/alo/alolex#entry_10736,pica,http://llod.jerteh.rs/alo/alolex#sense_10736_1,"pička || devojka
ženski polni organ; zgodna devojka"
http://llod.jerteh.rs/alo/synthetic#entry_114,"E @USER, uvalicu ti ga, picko jedna raspala! 😡",http://llod.jerteh.rs/alo/alolex#entry_2113,uvaliti,http://llod.jerteh.rs/alo/alolex#sense_2113_1,jebati
http://llod.jerteh.rs/alo/synthetic#entry_115,"Ovaj @USER je tolika seljačina, ne mogu da verujem šta priča! 🤮🤮🤮",http://llod.jerteh.rs/alo/alolex#entry_10956,seljačina,http://llod.jerteh.rs/alo/alolex#sense_10956_1,"ruralan tip koji se trudi iz petnih žila da ostavi dobar utisak
ruralan(nekulturan) tip koji se iz petnih žila trudi da ostavi dobar utisak, primitivan, neobrazovan čovek"
http://llod.jerteh.rs/alo/synthetic#entry_117,"E moj @USER, ti si jedan običan šmajser, majke mi! 😠",http://llod.jerteh.rs/alo/alolex#entry_2471,šmajser,http://llod.jerteh.rs/alo/alolex#sense_2471_1,kurac
http://llod.jerteh.rs/alo/synthetic#entry_12,"E @USER, bolje ti je da se smiriš, inače ću te dići k'o niko!",http://llod.jerteh.rs/alo/alolex#entry_332,dići,http://llod.jerteh.rs/alo/alolex#sense_332_1,pičku u vazduh isprebijati
http://llod.jerteh.rs/alo/synthetic#entry_121,@USER Taj zlotvor opet širi laži! 😡 #StopLazi #Srbija,http://llod.jerteh.rs/alo/alolex#entry_11265,zlotvor,http://llod.jerteh.rs/alo/alolex#sense_11265_1,"kurac
osoba koja nanosi zlo drugima"
http://llod.jerteh.rs/alo/synthetic#entry_123,@USER Ti si jedna obična đoka! 😡 #idiot #seljak,http://llod.jerteh.rs/alo/alolex#entry_11336,đoka,http://llod.jerteh.rs/alo/alolex#sense_11336_1,kurac
http://llod.jerteh.rs/alo/synthetic#entry_124,"@USER idiote jedan, mrs u pm, banana ti je mama!",http://llod.jerteh.rs/alo/alolex#entry_9709,banana,http://llod.jerteh.rs/alo/alolex#sense_9709_1,"crnac
kurac"
http://llod.jerteh.rs/alo/synthetic#entry_126,"@USER ubico jedan, dabogda te stigla karma! 😡 Smejes se tudjoj nesreci?!",http://llod.jerteh.rs/alo/alolex#entry_11150,ubica,http://llod.jerteh.rs/alo/alolex#sense_11150_1,"onaj koji je izvršio ubistvo, nasilno oduzeo nekome život, onaj koji je ubio ili ubija"
http://llod.jerteh.rs/alo/synthetic#entry_128,"Šta ti sereš, @USER, tim ti je kurčev, a izgubili ste 5-0! 😂",http://llod.jerteh.rs/alo/alolex#entry_908,kurčev,http://llod.jerteh.rs/alo/alolex#sense_908_1,koji se odnosi na penis
